0 50 6498 47 12269
1 32 4988 31 12403
2 63 6172 63 9514
3 0 0 0 0
4 0 0 0 0
5 0 0 0 0
6 0 0 0 0
7 3 144 3 120
8 0 0 0 0
9 32 4577 33 37107
10 7 892 6 413
11 2 80 2 80
12 1 40 1 40
13 0 0 0 0
14 0 0 0 0
15 2 133 3 120
16 0 0 0 0
17 0 0 0 0
18 22 15675 27 15276
19 46 10757 48 12080
20 155 15562 187 975145
21 15 5822 17 38735
22 1 40 1 40
23 56 17844 73 53644
24 21 1979 25 73041
25 227 21189 299 1052356
26 164 11862 223 1313442
27 39 3133 54 239330
28 154 29294 176 405851
29 95 17316 113 460313
30 8 320 8 3398
31 1 40 1 40
32 1 40 1 40
33 0 0 0 0
34 0 0 0 0
35 0 0 0 0
36 62 12473 71 147852
37 21 4790 22 19190
38 98 26566 108 131086
39 72 37287 91 105032
40 17 12825 22 9797
41 58 20759 69 70983
42 130 42313 179 371911
43 50 24607 63 77036
44 59 47076 92 45456
45 121 51308 142 60049
46 25 18495 33 10945
47 65 11229 65 40456
48 91 22207 96 204761
49 74 25825 80 42225
50 59 15838 61 92687
51 67 36578 83 34760
52 28 8065 32 21538
53 1 40 1 40
54 2 80 2 128
55 2 80 2 80
56 0 0 0 0
57 5 263 6 315
58 7 440 8 14442
59 10 499 10 499
60 29 3329 29 3188
61 2 80 2 80
62 2 80 2 80
63 1 40 1 40
64 1 40 1 40
65 2 80 2 80
66 0 0 0 0
67 6 303 5 275
68 1 40 1 40
69 6 240 6 240
70 4 160 4 160
71 7 357 8 351
72 2 80 2 80
73 1 40 1 40
74 2 80 2 128
75 0 0 0 0
76 2 80 2 80
77 2 126 2 126
78 5 277 7 362
79 6 240 6 240
80 3 120 3 120
81 4 160 4 160
82 6 2862 7 900
83 1 40 1 40
84 1 40 1 40
85 1 40 1 40
86 2 80 2 80
87 8 5050 9 762
88 2 80 2 557
89 5 200 5 200
90 11 2367 12 1262
91 2 80 2 80
92 2 80 2 80
93 1 40 1 40
94 16 2233 15 7922
95 15 17428 28 6791
96 19 1366 26 42407
97 59 40452 86 76909
98 1 40 1 91
99 3 120 3 1083
100 66 15523 84 233942
101 42 11538 44 13941
102 123 16889 151 414475
103 12 3517 13 2265
104 85 29641 98 74004
105 67 12630 73 31350
106 4 206 4 206
107 2 126 2 126
108 29 11843 33 12729
109 14 8077 17 1915
110 11 3167 12 940
111 13 3241 14 1019
112 12 5852 14 1452
113 18 7302 22 2211
114 17 8906 20 2402
115 2 80 2 80
116 8 3021 9 817
117 14 5920 16 1584
118 5 2929 6 330
119 20 18349 28 3977
120 18 8760 22 2601
121 11 3248 12 1341
122 19 8874 22 2318
123 7 2982 8 881
124 0 0 0 0
125 5 4046 7 699
126 2 80 2 80
127 2 80 2 80
128 6 317 5 282
129 99 9214 125 717696
130 15 1417 16 2765
131 12 5142 14 5280
132 24 5038 27 2913
133 4 213 4 160
134 1 40 1 88
135 11 1916 13 1503
136 52 5508 54 320406
137 10 1526 10 1731
138 6 2710 7 1042
139 2 80 2 131
140 1 40 1 40
141 5 200 5 200
142 14 1778 15 2046
143 19 1363 27 43952
144 66 34989 80 46673
145 7 280 7 6205
146 3 166 3 166
147 13 8120 17 29558
148 1 40 1 40
149 14 3552 14 2107
150 45 5382 43 16811
151 4 206 5 611
152 5 200 5 200
153 2 80 2 80
154 2 80 2 128
155 0 0 0 0
156 6 317 6 317
157 0 0 0 0
158 2 80 2 80
159 3 120 3 171
160 9 430 9 399
161 7 342 7 280
162 5 246 5 246
163 8 412 9 452
164 6 339 6 286
165 5 299 5 246
166 8 450 8 366
167 12 641 12 542
168 2 126 3 166
169 1 40 1 91
170 5 200 5 200
171 4 223 4 160
172 2 80 2 80
173 1 40 3 120
174 2 80 2 128
175 4 160 4 160
176 0 0 0 0
177 0 0 0 0
178 0 0 0 0
179 1 40 1 91
180 3 120 3 120
181 2 80 2 80
182 0 0 0 0
183 1 40 1 40
184 1 40 1 40
185 0 0 0 0
186 0 0 0 0
187 0 0 0 0
188 0 0 0 0
189 0 0 0 0
190 3 120 3 171
191 3 120 3 120
192 4 774 4 774
193 30 11227 33 50546
194 1 40 1 88
195 1 40 1 40
196 0 0 0 0
197 0 0 0 0
198 0 0 0 0
199 0 0 0 0
198 2 111 3 120
199 0 0 0 0
200 3 120 3 171
